"","Subject","Group","fea_f0","fea_full","fea_tbr","hap_f0","hap_full","hap_tbr","ple_f0","ple_full","ple_tbr","sad_f0","sad_full","sad_tbr"
"56","a9c2b21f",1,0.44,0.586206896551724,0.166666666666667,0.91304347826087,1,0.78125,0.615384615384615,0.882352941176471,0.555555555555556,0.695652173913043,0.727272727272727,0.2
"57","ac31d7f9",1,0.521739130434783,0.923076923076923,0.590909090909091,0.695652173913043,0.931034482758621,0.227272727272727,0.36,0.444444444444444,0.346153846153846,0.72,0.851851851851852,0.636363636363636
"58","ad5fe97f",2,0.5,0.576923076923077,0.181818181818182,0.925925925925926,0.869565217391304,0.466666666666667,0.571428571428571,0.8125,0.333333333333333,0.64,0.476190476190476,0.48
"59","aecbc5c2",1,0.517241379310345,0.363636363636364,0.666666666666667,0.208333333333333,0.761904761904762,0.310344827586207,0.2,0.111111111111111,0.08,0.222222222222222,0.384615384615385,0.25
"60","af81b846",1,0.65,0.714285714285714,0.72,0.851851851851852,1,0.32,0.565217391304348,0.842105263157895,0.689655172413793,0.652173913043478,0.736842105263158,0.2
"61","afaf9330",2,0.375,0.666666666666667,0.4375,0.5,0.736842105263158,0.181818181818182,0.692307692307692,0.757575757575758,0.566666666666667,0.636363636363636,0.888888888888889,0.523809523809524
"62","affea6fc",2,0.428571428571429,0.6,0.208333333333333,0.631578947368421,0.777777777777778,0.15,0.67741935483871,0.5,0.461538461538462,0.545454545454545,0.814814814814815,0.785714285714286
"63","b0ae6cfa",1,0.379310344827586,0.5,0.258064516129032,0.9375,0.9,0.681818181818182,0.259259259259259,0.608695652173913,0.0714285714285714,0.625,0.727272727272727,0.5
"64","b2a5db19",1,0.523809523809524,0.421052631578947,0.473684210526316,0.80952380952381,0.827586206896552,0.85,0.263157894736842,0.545454545454545,0.291666666666667,0.8,0.615384615384615,0.482758620689655
"65","b6586471",2,0.652173913043478,0.583333333333333,0.233333333333333,0.782608695652174,0.954545454545455,0.481481481481481,0.5,0.65625,0.421052631578947,0.739130434782609,0.909090909090909,0.782608695652174
"66","b778eb4f",2,0.681818181818182,0.608695652173913,0.173913043478261,0.869565217391304,0.956521739130435,0.5,0.434782608695652,0.633333333333333,0.294117647058824,0.818181818181818,0.857142857142857,0.346153846153846
"67","b7d815e5",1,0.545454545454545,0.727272727272727,0.466666666666667,0.740740740740741,0.916666666666667,0.303030303030303,0.68,0.666666666666667,0.407407407407407,0.523809523809524,0.470588235294118,0.421052631578947
"68","beac6eba",1,0.80952380952381,0.739130434782609,0.5,0.833333333333333,0.954545454545455,0.625,0.433333333333333,0.619047619047619,0.5,0.473684210526316,0.617647058823529,0.294117647058824
"69","bf63d4b0",2,0.590909090909091,0.681818181818182,0.1,0.866666666666667,0.956521739130435,0.583333333333333,0.363636363636364,0.842105263157895,0.5,0.655172413793103,0.740740740740741,0.576923076923077
"70","c2777d5e",1,0.666666666666667,0.636363636363636,0.526315789473684,0.931034482758621,0.964285714285714,0.19047619047619,0.307692307692308,0.666666666666667,0.458333333333333,0.75,0.740740740740741,0.52
"71","c2b2b585",2,0.476190476190476,0.483870967741935,0.166666666666667,0.882352941176471,1,0.666666666666667,0.476190476190476,0.548387096774194,0.5,0.739130434782609,0.814814814814815,0.304347826086957
"72","c2efc2bd",1,0.541666666666667,0.666666666666667,0.380952380952381,0.8,0.962962962962963,0.631578947368421,0.59375,0.869565217391304,0.272727272727273,0.583333333333333,0.714285714285714,0.4375
"73","c5dd6f55",1,0.521739130434783,0.733333333333333,0.40625,0.827586206896552,1,0.9,0.411764705882353,0.666666666666667,0.304347826086957,0.565217391304348,0.631578947368421,0.357142857142857
"74","d4970135",1,0.65,0.740740740740741,0.32,0.842105263157895,0.92,0.766666666666667,0.590909090909091,0.590909090909091,0.347826086956522,0.535714285714286,0.708333333333333,0.28
"75","d6fc8611",1,0.416666666666667,0.526315789473684,0.192307692307692,0.833333333333333,1,0.37037037037037,0.409090909090909,0.583333333333333,0.12,0.25,0.588235294117647,0.764705882352941
"76","d832cea2",2,0.761904761904762,0.869565217391304,0.533333333333333,0.84,0.958333333333333,0.666666666666667,0.416666666666667,0.448275862068966,0.259259259259259,0.636363636363636,0.947368421052632,0.45
"77","dba29b75",1,0.84,0.833333333333333,0.32258064516129,0.857142857142857,1,0.75,0.538461538461538,0.944444444444444,0.5,0.888888888888889,1,0.615384615384615
"78","dc760a5d",1,0.48,0.772727272727273,0.368421052631579,0.846153846153846,1,0.464285714285714,0.555555555555556,0.761904761904762,0.310344827586207,0.68,0.722222222222222,0.478260869565217
"79","dcd8e33b",1,0.478260869565217,0.652173913043478,0.36,0.870967741935484,0.961538461538462,0.692307692307692,0.434782608695652,0.772727272727273,0.307692307692308,0.703703703703704,0.842105263157895,0.65
"80","e852c63d",2,0.666666666666667,0.714285714285714,0.36,0.935483870967742,0.870967741935484,0.342857142857143,0.631578947368421,0.764705882352941,0.529411764705882,0.739130434782609,0.846153846153846,0.55
"81","eac06b9a",2,0.7,0.833333333333333,0.379310344827586,0.76,0.909090909090909,0.466666666666667,0.538461538461538,0.62962962962963,0.176470588235294,0.864864864864865,0.933333333333333,0.65
"82","f32b7d38",2,0.772727272727273,0.652173913043478,0.304347826086957,0.625,0.88,0.19047619047619,0.434782608695652,0.518518518518518,0.227272727272727,0.28,0.647058823529412,0.583333333333333
"83","f3490f82",1,0.823529411764706,0.944444444444444,0.709677419354839,0.814814814814815,1,0.478260869565217,0.32,0.481481481481481,0.178571428571429,0.64,0.869565217391304,0.217391304347826
"84","f51c6a08",2,0.5,0.625,0.0952380952380952,0.869565217391304,1,0.882352941176471,0.296296296296296,0.518518518518518,0.285714285714286,0.846153846153846,0.818181818181818,0.473684210526316
"85","f68d9943",2,0.611111111111111,0.392857142857143,0.217391304347826,0.666666666666667,0.888888888888889,0.210526315789474,0.37037037037037,0.8,0.409090909090909,0.678571428571429,0.703703703703704,0.6
"86","f88bdf93",1,0.612903225806452,0.75,0.217391304347826,0.56,0.806451612903226,0.315789473684211,0.727272727272727,0.896551724137931,0.642857142857143,0.684210526315789,0.882352941176471,0.689655172413793
"87","fd29b2f1",2,0.5,0.575757575757576,0.409090909090909,0.826086956521739,0.95,0.592592592592593,0.428571428571429,0.733333333333333,0.5,0.272727272727273,0.379310344827586,0.24
"88","feded5f4",2,0.515151515151515,0.578947368421053,0.481481481481481,0.944444444444444,1,0.642857142857143,0.62962962962963,0.590909090909091,0.391304347826087,0.777777777777778,0.785714285714286,0.555555555555556
